user_id,converted,sent_invite,program,active_days
0,0,0,0,2
1,0,0,1,6
2,0,0,1,4
3,1,0,0,2
4,1,1,1,5
5,1,0,0,4
6,0,0,0,1
7,0,0,0,1
8,1,0,1,4
9,0,1,1,4
10,1,0,0,1
11,0,0,0,1
12,1,0,0,2
13,0,0,0,5
14,1,0,0,2
15,0,0,0,2
16,0,1,1,5
17,0,0,0,3
18,0,0,0,1
19,1,0,0,1
20,1,0,0,5
21,0,0,0,1
22,0,0,0,2
23,1,0,0,1
24,1,0,0,2
25,0,1,1,3
26,0,0,0,1
27,0,0,0,2
28,1,0,0,2
29,0,0,0,7
30,0,0,0,1
31,0,0,0,2
32,0,0,1,3
33,0,0,1,3
34,0,0,0,2
35,0,0,0,6
36,1,1,1,1
37,1,0,0,4
38,1,0,0,2
39,1,0,1,4
40,0,0,0,3
41,1,1,0,7
42,0,0,0,2
43,1,0,0,2
44,0,0,0,1
45,1,1,1,2
46,1,0,1,3
47,0,0,0,1
48,0,0,1,2
49,0,0,0,1
50,0,0,1,4
51,0,0,0,1
52,0,0,0,1
53,0,0,0,1
54,0,0,0,1
55,0,0,0,2
56,0,0,0,6
57,0,0,0,2
58,0,0,0,2
59,1,1,1,2
60,0,1,1,1
61,1,0,0,2
62,0,0,0,1
63,0,0,0,3
64,0,0,0,1
65,1,0,0,4
66,1,0,1,3
67,1,1,1,2
68,0,0,1,2
69,0,0,0,2
70,0,0,0,2
71,1,0,0,2
72,1,0,0,2
73,0,0,0,2
74,1,0,0,2
75,0,0,1,5
76,1,0,0,1
77,0,0,0,3
78,1,0,0,1
79,1,0,0,2
80,0,0,0,1
81,1,0,0,3
82,0,1,1,3
83,1,0,0,1
84,1,0,0,2
85,1,0,0,1
86,0,0,0,1
87,0,0,0,2
88,0,0,0,2
89,0,0,0,5
90,1,0,0,3
91,0,0,0,1
92,1,0,0,2
93,0,0,1,4
94,0,0,0,2
95,0,0,1,4
96,0,0,0,2
97,0,0,1,4
98,0,0,0,1
99,1,0,0,2
100,0,0,1,2
101,1,0,0,1
102,0,0,0,2
103,0,0,0,3
104,0,1,1,3
105,0,0,0,7
106,0,0,0,1
107,0,0,0,2
108,1,0,0,3
109,0,0,0,3
110,0,0,0,3
111,0,0,0,7
112,0,0,0,1
113,1,1,0,1
114,0,0,0,1
115,1,0,0,2
116,0,0,0,2
117,0,1,1,2
118,1,0,0,2
119,0,0,1,3
120,0,0,0,2
121,1,0,0,2
122,1,0,0,1
123,0,0,0,1
124,0,0,1,1
125,0,0,0,2
126,0,0,0,2
127,1,0,0,3
128,1,0,0,3
129,0,0,1,1
130,0,0,0,2
131,0,0,0,1
132,0,0,0,1
133,1,0,0,2
134,0,0,0,1
135,0,0,1,2
136,0,0,0,1
137,1,0,0,1
138,1,0,0,1
139,0,0,0,2
140,0,0,0,1
141,0,1,1,2
142,1,1,1,2
143,0,0,0,7
144,0,0,0,1
145,0,0,0,1
146,1,0,0,5
147,0,0,0,1
148,1,0,0,2
149,1,0,0,3
150,1,0,0,3
151,1,1,1,2
152,0,0,1,3
153,0,0,0,1
154,0,0,1,4
155,1,0,0,2
156,1,0,0,3
157,1,0,0,2
158,1,0,1,3
159,1,0,0,2
160,0,0,0,2
161,0,0,0,3
162,1,0,0,1
163,0,0,0,1
164,1,0,0,1
165,1,0,0,2
166,1,0,0,2
167,1,1,1,6
168,0,0,0,1
169,0,1,1,2
170,0,0,0,2
171,0,0,0,5
172,0,1,1,2
173,0,0,0,2
174,0,1,1,1
175,0,0,0,1
176,1,0,0,5
177,0,0,1,2
178,0,0,1,5
179,1,0,0,3
180,0,0,0,2
181,1,1,0,2
182,0,0,0,2
183,0,0,0,2
184,0,0,1,4
185,1,0,0,6
186,0,0,0,1
187,1,0,0,1
188,0,1,1,7
189,1,0,0,1
190,1,0,0,3
191,1,1,1,1
192,0,0,1,4
193,1,1,0,1
194,1,0,0,3
195,0,0,1,4
196,1,0,0,2
197,1,0,0,3
198,1,0,0,1
199,1,0,1,4
200,1,0,0,1
201,0,0,0,2
202,1,0,0,2
203,0,0,1,4
204,0,1,1,1
205,0,0,0,2
206,1,0,1,4
207,0,0,0,3
208,1,0,0,1
209,0,0,1,3
210,0,0,0,1
211,1,0,1,4
212,0,0,0,1
213,0,0,0,1
214,0,0,0,2
215,0,0,0,1
216,1,1,1,4
217,1,0,0,1
218,1,0,0,1
219,0,0,1,4
220,0,0,0,1
221,0,1,1,6
222,0,0,0,1
223,0,0,0,6
224,0,0,1,3
225,1,1,1,4
226,1,0,0,4
227,0,0,0,6
228,1,1,1,1
229,1,0,0,3
230,1,0,0,7
231,1,0,1,3
232,1,0,0,2
233,0,0,0,2
234,0,0,0,2
235,0,0,1,2
236,0,0,0,2
237,1,1,1,1
238,0,0,1,5
239,0,0,0,1
240,0,0,1,3
241,0,0,0,1
242,0,0,1,4
243,1,0,0,1
244,0,0,0,1
245,0,0,0,2
246,1,0,1,3
247,0,1,1,2
248,0,0,0,2
249,1,0,0,1
250,1,0,0,3
251,0,0,0,5
252,0,0,0,2
253,1,0,0,3
254,1,0,0,1
255,0,0,0,1
256,0,0,0,1
257,1,0,0,3
258,1,0,0,3
259,1,1,0,1
260,0,0,0,2
261,0,0,0,3
262,1,0,0,2
263,0,0,0,2
264,0,0,0,6
265,1,0,1,4
266,1,1,1,3
267,1,1,1,2
268,1,0,0,5
