user_id,Technology,Product State,Signup Date,Free Trial Start Date,Website Deployed Date,Variant
495,Adaptable,Execution,6/11/2023,7/5/2023,,Control
159,Adaptable,Planning,6/11/2023,,,Control
144,Adaptable,Planning,6/8/2023,,,Control
30,Challenging,Inspiration,6/7/2023,,,Control
302,Expert,Planning,6/11/2023,,,Control
471,Adaptable,Execution,6/13/2023,,,Control
472,Adaptable,Execution,6/6/2023,,,Control
18,Challenging,Inspiration,6/5/2023,,,Control
76,Challenging,Planning,6/10/2023,6/18/2023,,Control
27,Challenging,Inspiration,6/9/2023,,,Control
264,Expert,Inspiration,6/9/2023,,,Control
455,Expert,Execution,6/5/2023,6/13/2023,,Control
320,Expert,Rebuilding,6/9/2023,,,Control
181,Diligent,Rebuilding,6/12/2023,,,Control
433,Adaptable,Execution,6/5/2023,,,Control
23,Challenging,Inspiration,6/5/2023,,,Control
188,Diligent,Planning,6/2/2023,,,Control
212,Diligent,Rebuilding,6/11/2023,,,Control
182,Diligent,Rebuilding,6/14/2023,,,Control
311,Expert,Planning,6/13/2023,,,Control
207,Expert,Inspiration,6/13/2023,6/28/2023,7/12/2023,Control
427,Adaptable,Execution,6/2/2023,,,Control
334,Adaptable,Rebuilding,6/14/2023,,,Control
199,Diligent,Planning,6/3/2023,6/22/2023,,Control
331,Adaptable,Rebuilding,6/2/2023,,,Control
26,Challenging,Inspiration,6/13/2023,,,Control
404,Adaptable,Execution,6/9/2023,6/26/2023,7/10/2023,Control
128,Adaptable,Inspiration,6/13/2023,6/28/2023,,Control
362,Expert,Planning,6/4/2023,6/23/2023,7/7/2023,Control
309,Expert,Planning,6/9/2023,,,Control
224,Diligent,Rebuilding,6/13/2023,,,Control
410,Adaptable,Execution,6/3/2023,,,Control
322,Expert,Rebuilding,6/1/2023,,,Control
156,Adaptable,Planning,6/6/2023,,,Control
315,Expert,Rebuilding,6/6/2023,,,Control
28,Challenging,Inspiration,6/3/2023,,,Control
366,Adaptable,Planning,6/6/2023,,,Control
255,Expert,Execution,6/3/2023,,,Control
391,Adaptable,Execution,6/9/2023,,,Control
306,Expert,Planning,6/10/2023,,,Control
56,Challenging,Inspiration,6/1/2023,,,Control
482,Adaptable,Execution,6/12/2023,,,Control
14,Challenging,Inspiration,6/9/2023,,,Control
78,Challenging,Planning,6/1/2023,,,Control
84,Challenging,Execution,6/3/2023,,,Control
352,Adaptable,Planning,6/1/2023,,,Control
301,Expert,Planning,6/12/2023,,,Control
425,Adaptable,Execution,6/9/2023,6/23/2023,7/7/2023,Control
21,Challenging,Inspiration,6/13/2023,,,Control
461,Adaptable,Execution,6/11/2023,,,Control
6,Challenging,Inspiration,6/1/2023,,,Control
459,Adaptable,Execution,6/10/2023,,,Control
140,Adaptable,Planning,6/12/2023,,,Control
283,Expert,Rebuilding,6/9/2023,,,Control
147,Adaptable,Planning,6/14/2023,,,Control
81,Challenging,Planning,6/1/2023,6/16/2023,,Control
31,Challenging,Inspiration,6/3/2023,,,Control
198,Expert,Planning,6/9/2023,7/4/2023,,Control
423,Adaptable,Execution,6/12/2023,,,Control
196,Expert,Planning,6/10/2023,7/6/2023,,Control
178,Diligent,Rebuilding,6/14/2023,,,Control
175,Diligent,Rebuilding,6/4/2023,,,Control
468,Adaptable,Execution,6/10/2023,7/5/2023,7/19/2023,Control
197,Diligent,Planning,6/13/2023,,,Control
336,Expert,Rebuilding,6/1/2023,6/6/2023,6/20/2023,Control
5,Challenging,Inspiration,6/3/2023,,,Control
36,Challenging,Inspiration,6/1/2023,,,Control
106,Challenging,Execution,6/14/2023,6/29/2023,7/13/2023,Control
233,Diligent,Planning,6/11/2023,,,Control
236,Diligent,Planning,6/2/2023,,,Control
94,Challenging,Execution,6/7/2023,,,Control
251,Expert,Rebuilding,6/7/2023,,,Control
195,Diligent,Planning,6/1/2023,,,Control
395,Adaptable,Execution,6/6/2023,,,Control
487,Adaptable,Execution,6/1/2023,,,Control
417,Adaptable,Execution,6/10/2023,,,Control
191,Diligent,Planning,6/10/2023,7/6/2023,7/20/2023,Control
498,Adaptable,Execution,6/3/2023,6/10/2023,,Control
436,Adaptable,Execution,6/9/2023,6/26/2023,7/10/2023,Control
494,Adaptable,Execution,6/12/2023,,,Control
88,Challenging,Execution,6/2/2023,6/18/2023,7/2/2023,Control
448,Adaptable,Execution,6/3/2023,,,Control
339,Adaptable,Rebuilding,6/7/2023,,,Control
278,Expert,Rebuilding,6/8/2023,,,Control
213,Diligent,Rebuilding,6/11/2023,,,Control
299,Expert,Planning,6/13/2023,6/17/2023,,Control
32,Challenging,Inspiration,6/12/2023,7/2/2023,7/16/2023,Control
91,Challenging,Execution,6/9/2023,,,Control
150,Adaptable,Planning,6/4/2023,,,Control
294,Expert,Planning,6/12/2023,,,Control
136,Adaptable,Inspiration,6/7/2023,,,Control
126,Adaptable,Inspiration,6/4/2023,6/27/2023,7/11/2023,Control
452,Adaptable,Execution,6/2/2023,6/21/2023,7/5/2023,Control
351,Adaptable,Planning,6/11/2023,,,Control
258,Expert,Execution,6/4/2023,7/4/2023,7/18/2023,Control
430,Adaptable,Execution,6/6/2023,,,Control
477,Adaptable,Execution,6/9/2023,,,Control
127,Adaptable,Inspiration,6/11/2023,,,Control
35,Challenging,Inspiration,6/6/2023,,,Control
64,Challenging,Planning,6/14/2023,,,Control
134,Adaptable,Inspiration,6/14/2023,,,Control
412,Adaptable,Execution,6/13/2023,,,Control
66,Challenging,Planning,6/3/2023,6/18/2023,7/2/2023,Control
166,Adaptable,Execution,6/3/2023,,,Control
89,Challenging,Execution,6/7/2023,,,Control
99,Challenging,Execution,6/4/2023,,,Control
121,Adaptable,Inspiration,6/14/2023,7/8/2023,7/11/2023,Control
449,Adaptable,Execution,6/7/2023,,,Control
441,Adaptable,Execution,6/4/2023,,,Control
183,Diligent,Rebuilding,6/13/2023,7/4/2023,7/18/2023,Control
476,Adaptable,Execution,6/2/2023,,,Control
135,Adaptable,Inspiration,6/5/2023,6/23/2023,7/7/2023,Control
435,Adaptable,Execution,6/9/2023,,,Control
139,Adaptable,Rebuilding,6/6/2023,,,Control
269,Expert,Inspiration,6/9/2023,,,Control
374,Adaptable,Planning,6/6/2023,,,Control
168,Expert,Execution,6/11/2023,7/8/2023,7/22/2023,Control
194,Diligent,Planning,6/10/2023,,,Control
360,Adaptable,Planning,6/6/2023,,,Control
344,Adaptable,Planning,6/11/2023,,,Control
418,Adaptable,Execution,6/9/2023,,,Control
10,Challenging,Inspiration,6/4/2023,,,Control
77,Challenging,Planning,6/2/2023,6/17/2023,7/1/2023,Control
297,Expert,Planning,6/7/2023,,,Control
226,Expert,Rebuilding,6/13/2023,6/19/2023,7/3/2023,Control
390,Adaptable,Rebuilding,6/7/2023,6/8/2023,,Control
330,Expert,Rebuilding,6/1/2023,,,Control
464,Expert,Execution,6/12/2023,,,Control
257,Expert,Execution,6/11/2023,,,Control
165,Adaptable,Execution,6/5/2023,6/5/2023,,Control
458,Adaptable,Execution,6/3/2023,6/29/2023,7/13/2023,Control
428,Adaptable,Execution,6/1/2023,6/18/2023,,Control
148,Adaptable,Planning,6/3/2023,,,Control
230,Diligent,Planning,6/2/2023,,,Control
422,Adaptable,Execution,6/10/2023,,,Control
274,Expert,Rebuilding,6/4/2023,,,Control
102,Challenging,Execution,6/11/2023,,,Control
200,Diligent,Rebuilding,6/9/2023,,,Control
369,Adaptable,Planning,6/8/2023,,,Control
409,Adaptable,Execution,6/5/2023,,,Control
396,Adaptable,Execution,6/4/2023,6/16/2023,6/30/2023,Control
484,Adaptable,Execution,6/10/2023,6/21/2023,7/5/2023,Control
118,Adaptable,Inspiration,6/9/2023,,,Control
